"","tms","bs"
"1","00",3
"2","00",1
"3","00",2
"4","00",3
"5","00",3
"6","00",5
"7","00",5
"8","00",5
"9","00",5
"10","07",5
"11","07",5
"12","07",5
"13","07",5
"14","07",5
"15","07",5
"16","07",5
"17","07",5
"18","07",5
"19","07",5
"20","07",5
"21","07",5
"22","07",5
"23","07",5
"24","07",5
"25","07",5
"26","07",5
"27","07",5
"28","07",5
"29","07",5
"30","07",1
"31","07",5
"32","07",5
"33","07",5
"34","07",5
"35","07",5
"36","07",5
"37","07",5
"38","07",5
"39","07",5
"40","07",5
"41","07",5
"42","07",5
"43","07",5
"44","07",2
"45","07",3
"46","07",3
"47","07",3
"48","07",1
"49","07",3
"50","07",3
"51","07",1
"52","07",3
"53","07",3
"54","07",3
"55","07",1
"56","07",1
"57","07",1
"58","07",1
"59","07",3
"60","07",1
"61","07",3
"62","07",1
"63","07",1
"64","07",1
"65","07",2
"66","07",3
"67","07",3
"68","07",3
"69","07",3
"70","07",3
"71","07",3
"72","07",3
"73","07",3
"74","07",3
"75","07",3
"76","07",3
"77","07",3
"78","07",3
"79","07",3
"80","07",3
"81","07",3
"82","07",1
"83","07",3
"84","07",3
"85","07",3
"86","07",1
"87","07",3
"88","07",3
"89","07",1
"90","07",1
"91","07",3
"92","07",1
"93","07",1
"94","07",3
"95","07",3
"96","07",3
"97","07",3
"98","07",3
"99","07",3
"100","07",1
"101","07",2
"102","07",1
"103","07",3
"104","07",2
"105","07",1
"106","07",3
"107","07",2
"108","07",2
"109","07",2
"110","07",1
"111","07",1
"112","07",2
"113","07",1
"114","07",1
"115","07",1
"116","07",1
"117","07",1
"118","07",1
"119","07",1
"120","07",1
"121","07",5
"122","07",1
"123","07",1
"124","07",3
"125","07",3
"126","07",3
"127","07",1
"128","07",3
"129","07",3
"130","07",3
"131","07",3
"132","07",3
"133","07",3
"134","07",3
"135","07",3
"136","07",3
"137","07",3
"138","07",3
"139","07",3
"140","07",3
"141","07",3
"142","07",3
"143","07",3
"144","07",3
"145","07",3
"146","07",3
"147","07",3
"148","07",1
"149","07",3
"150","07",1
"151","07",1
"152","07",3
"153","07",3
"154","07",1
"155","07",1
"156","07",1
"157","07",3
"158","07",1
"159","07",1
"160","07",1
"161","07",1
"162","07",5
"163","07",1
"164","07",3
"165","07",1
"166","07",1
"167","07",1
"168","07",1
"169","07",1
"170","07",1
"171","07",3
"172","07",3
"173","07",2
"174","07",1
"175","07",1
"176","07",1
"177","07",3
"178","07",3
"179","07",3
"180","07",1
"181","07",1
"182","07",1
"183","07",1
"184","07",1
"185","07",1
"186","07",1
"187","07",1
"188","07",1
"189","07",1
"190","07",1
"191","07",1
"192","07",1
"193","07",1
"194","07",1
"195","07",1
"196","07",1
"197","07",1
"198","07",1
"199","07",5
"200","07",1
"201","07",1
"202","07",1
"203","07",1
"204","07",5
"205","07",1
"206","07",3
"207","07",1
"208","07",1
"209","07",2
"210","07",1
"211","07",1
"212","07",1
"213","07",1
"214","07",5
"215","07",1
"216","07",1
"217","07",5
"218","07",1
"219","07",1
"220","07",1
"221","07",1
"222","07",1
"223","07",3
"224","07",1
"225","07",1
"226","07",1
"227","07",1
"228","07",1
"229","07",1
"230","07",1
"231","07",1
"232","07",1
"233","07",1
"234","07",1
"235","07",1
"236","07",1
"237","07",1
"238","07",1
"239","07",1
"240","07",1
"241","07",3
"242","07",1
"243","07",1
"244","07",1
"245","08",1
"246","08",1
"247","08",1
"248","08",1
"249","08",1
"250","08",1
"251","08",1
"252","08",1
"253","08",1
"254","08",1
"255","08",5
"256","08",5
"257","08",5
"258","08",1
"259","08",3
"260","08",3
"261","08",3
"262","08",3
"263","08",3
"264","08",1
"265","08",3
"266","08",1
"267","08",2
"268","08",3
"269","08",2
"270","08",3
"271","08",3
"272","08",3
"273","08",1
"274","08",2
"275","08",2
"276","08",1
"277","08",1
"278","08",3
"279","08",3
"280","08",2
"281","08",1
"282","08",5
"283","08",1
"284","08",3
"285","08",3
"286","08",1
"287","08",1
"288","08",5
"289","08",1
"290","08",5
"291","08",5
"292","08",1
"293","08",1
"294","08",5
"295","08",1
"296","08",1
"297","08",1
"298","08",5
"299","08",1
"300","08",1
"301","08",5
"302","08",5
"303","08",1
"304","08",1
"305","08",1
"306","08",1
"307","08",1
"308","08",1
"309","08",1
"310","08",1
"311","08",1
"312","08",1
"313","08",5
"314","08",5
"315","08",5
"316","08",1
"317","08",5
"318","08",5
"319","08",5
"320","08",5
"321","08",5
"322","08",5
"323","08",5
"324","08",5
"325","08",5
"326","08",5
"327","08",5
"328","08",5
"329","08",1
"330","08",5
"331","08",1
"332","08",5
"333","08",1
"334","08",5
"335","08",5
"336","08",5
"337","08",5
"338","08",5
"339","08",5
"340","08",1
"341","08",5
"342","08",5
"343","08",5
"344","08",5
"345","08",5
"346","08",5
"347","08",1
"348","08",1
"349","08",1
"350","08",5
"351","08",5
"352","08",5
"353","08",1
"354","08",5
"355","08",1
"356","08",1
"357","08",1
"358","08",5
"359","08",1
"360","08",1
"361","08",1
"362","08",5
"363","08",1
"364","08",1
"365","08",1
"366","08",1
"367","08",1
"368","08",1
"369","08",1
"370","08",1
"371","08",1
"372","08",1
"373","08",1
"374","08",5
"375","08",5
"376","08",1
"377","08",1
"378","08",2
"379","08",5
"380","08",3
"381","08",1
"382","08",3
"383","08",1
"384","08",2
"385","08",1
"386","08",5
"387","08",5
"388","08",5
"389","08",5
"390","08",5
"391","08",5
"392","08",5
"393","08",5
"394","08",5
"395","08",5
"396","08",5
"397","08",5
"398","08",5
"399","08",2
"400","08",5
"401","08",5
"402","08",5
"403","08",5
"404","08",5
"405","08",5
"406","08",5
"407","08",5
"408","08",5
"409","08",5
"410","08",5
"411","08",5
"412","08",1
"413","08",1
"414","08",5
"415","08",1
"416","08",1
"417","08",5
"418","08",1
"419","08",5
"420","08",1
"421","08",1
"422","08",5
"423","08",5
"424","08",1
"425","08",1
"426","08",1
"427","08",3
"428","08",2
"429","08",3
"430","08",3
"431","08",2
"432","08",3
"433","08",3
"434","08",2
"435","08",2
"436","08",1
"437","08",3
"438","08",3
"439","08",3
"440","08",3
"441","08",2
"442","08",3
"443","08",3
"444","08",3
"445","08",1
"446","08",1
"447","08",5
"448","08",5
"449","08",1
"450","08",5
"451","08",5
"452","08",5
"453","08",1
"454","08",1
"455","08",1
"456","08",1
"457","08",1
"458","08",5
"459","08",1
"460","08",5
"461","08",5
"462","08",3
"463","08",1
"464","08",1
"465","08",1
"466","08",1
"467","08",1
"468","08",1
"469","08",1
"470","08",1
"471","08",1
"472","08",1
"473","08",1
"474","08",1
"475","08",1
"476","08",1
"477","08",1
"478","08",1
"479","08",1
"480","08",1
"481","08",1
"482","08",1
"483","08",1
"484","08",1
"485","08",1
"486","08",5
"487","08",5
"488","08",1
"489","08",1
"490","08",1
"491","08",1
"492","08",1
"493","08",5
"494","09",5
"495","09",1
"496","09",5
"497","09",5
"498","09",1
"499","09",5
"500","09",1
"501","09",5
"502","09",1
"503","09",1
"504","09",1
"505","09",1
"506","09",5
"507","09",1
"508","09",1
"509","09",1
"510","09",1
"511","09",1
"512","09",5
"513","09",1
"514","09",5
"515","09",5
"516","09",5
"517","09",5
"518","09",1
"519","09",1
"520","09",1
"521","09",1
"522","09",5
"523","09",2
"524","09",3
"525","09",2
"526","09",1
"527","09",1
"528","09",5
"529","09",5
"530","09",5
"531","09",1
"532","09",3
"533","09",1
"534","09",1
"535","09",1
"536","09",5
"537","09",5
"538","09",5
"539","09",5
"540","09",2
"541","09",2
"542","09",5
"543","09",5
"544","09",5
"545","09",1
"546","09",5
"547","09",5
"548","09",5
"549","09",5
"550","09",5
"551","09",5
"552","09",5
"553","09",5
"554","09",5
"555","09",5
"556","09",5
"557","09",5
"558","09",5
"559","09",5
"560","09",5
"561","09",5
"562","09",5
"563","09",5
"564","09",5
"565","09",5
"566","09",5
"567","09",5
"568","09",4
"569","09",5
"570","09",5
"571","09",5
"572","09",5
"573","09",5
"574","09",5
"575","09",5
"576","09",1
"577","09",5
"578","09",5
"579","09",5
"580","09",1
"581","09",5
"582","09",5
"583","09",5
"584","09",5
"585","09",5
"586","09",5
"587","09",5
"588","09",5
"589","09",5
"590","09",5
"591","09",5
"592","09",5
"593","09",5
"594","09",5
"595","09",5
"596","09",5
"597","09",5
"598","09",5
"599","09",5
"600","09",5
"601","09",5
"602","09",5
"603","09",5
"604","09",5
"605","09",5
"606","09",5
"607","09",5
"608","09",5
"609","09",1
"610","09",5
"611","09",5
"612","09",1
"613","09",5
"614","09",5
"615","09",5
"616","09",5
"617","09",1
"618","09",5
"619","09",5
"620","09",5
"621","09",5
"622","09",5
"623","09",5
"624","09",5
"625","09",5
"626","09",5
"627","09",1
"628","09",5
"629","09",5
"630","09",1
"631","09",5
"632","09",5
"633","09",5
"634","09",5
"635","09",5
"636","09",5
"637","09",5
"638","09",5
"639","09",5
"640","09",1
"641","09",5
"642","09",1
"643","09",5
"644","09",1
"645","09",5
"646","09",1
"647","09",5
"648","09",1
"649","09",5
"650","09",5
"651","09",5
"652","09",5
"653","09",5
